stablecoin_type,stablecoin_size,market_regime,return_to_liquidity_ratio,total_return,total_risk
USDT,0.85,stress,2.7,0.07565935543523454,7.687921240726209
USDT,0.85,extreme,2.050276690168275,0.0756593554355437,12.300673985183597
USDT,0.9,normal,2.7,0.04131322010925752,3.1234911047321794
USDT,0.9,stress,2.7,0.07043503079627414,8.376833815227211
USDT,0.9,extreme,1.9925008757788365,0.07565897887915331,12.657289104842413
USDT,0.95,normal,2.7,0.041312836820596235,3.209082050693347
USDT,0.95,stress,2.7,0.07497565867037749,9.002269533355818
USDT,0.95,extreme,1.9393482902045378,0.0756586023602417,13.00412837006226
USDT,1.0,normal,2.7,0.04131245353193497,3.292448714076407
USDT,1.0,stress,2.7,0.07669889523331028,8.54060319848199
USDT,1.0,extreme,1.8902334873991327,0.07565822582258622,13.341954195420264
USDT,1.05,normal,2.7,0.041312070243273685,3.373755987258794
USDT,1.05,stress,2.7,0.07565784928484767,8.54464673513076
USDT,1.05,extreme,1.844669817601461,0.0756578492833876,13.67143477592863
USDT,1.1,normal,2.7,0.0413116869546124,3.4531493434697733
USDT,1.1,stress,2.7,0.07648094666098842,9.135722339544177
USDT,1.1,extreme,1.8022489760447922,0.07565747274728338,13.993159612038536
USDT,1.15,normal,2.7,0.041311303665951135,3.530757895275021
USDT,1.15,stress,2.7,0.07565709620962467,8.94228244020874
USDT,1.15,extreme,1.7626254992374388,0.07565709628117541,14.307651911671307
USDT,1.2,normal,2.7,0.04131092037728985,3.6066968602570504
USDT,1.2,stress,2.7,0.07565671967193595,9.134611592538631
USDT,1.2,extreme,1.725504849183045,0.0756567196706943,14.615378547813535
USDT,1.25,normal,2.7,0.041310537088628585,3.681069568553308
USDT,1.25,stress,2.7,0.07565634313432432,9.322973916765816
USDT,1.25,extreme,1.6906341574804973,0.07565634313431635,14.916758266823926
USDT,1.3,normal,2.7,0.0413101537999673,3.753969112189178
USDT,1.3,stress,2.6524718962743443,0.07565596664130343,9.507605182367138
USDT,1.3,extreme,1.6577949336888322,0.07565596659666836,15.212168296417488
USDT,1.35,normal,2.7,0.041309770511306035,3.825479711357986
USDT,1.35,stress,2.6028756534509143,0.07565559005901261,9.68871870088605
USDT,1.35,extreme,1.6267972834067916,0.07565559005900656,15.501949921416724
USDT,1.4,normal,2.7,0.04130938722264475,3.8956778548479516
USDT,1.4,stress,2.55596043032104,0.07565521352135963,9.866508185321294
USDT,1.4,extreme,1.597475268950649,0.07565521352135397,15.786413096512897
USDT,1.45,normal,2.7,0.04130900393398347,3.964633258637412
USDT,1.45,stress,2.5114930541389424,0.07565483687097102,10.04115018969716
USDT,1.45,extreme,1.5696831584897986,0.07565483698370246,16.06584033100676
USDT,1.5,normal,2.7,0.0413086206453222,4.032409676884911
USDT,1.5,stress,2.4692677901646385,0.07565446044605237,10.21280623448947
USDT,1.5,extreme,1.5432923688592215,0.07565446043949643,16.340489973700205
USDT,1.55,normal,2.7,0.04130823735666092,4.099065592177839
USDT,1.55,stress,2.4291023285126974,0.07565408390840024,10.381624385872357
USDT,1.55,extreme,1.5181889553204335,0.07565408390838932,16.6105990173934
USDT,1.6,normal,2.7,0.04130785406799964,4.164654806309572
USDT,1.6,stress,2.3908344582138885,0.07565370737074376,10.54774092379195
USDT,1.6,extreme,1.4942715363876917,0.07565370736709182,16.876385477207158
USDT,1.65,normal,2.7,0.04130747077933837,4.229226948563838
USDT,1.65,stress,2.3543193073815427,0.07565333082008661,10.711281541532234
USDT,1.65,extreme,1.471449567112577,0.07565333083308583,17.13805046940667
USDT,1.7,normal,2.7,0.04130708749067709,4.292827915162658
USDT,1.7,stress,2.3194270304103046,0.07565295428737084,10.872362483704707
USDT,1.7,extreme,1.4496418939734435,0.07565295429542739,17.395779976176033
USDT,1.75,normal,2.7,0.04130670420201582,4.355500250940289
USDT,1.75,stress,2.2860408614963155,0.07565257775778181,11.031091501468007
USDT,1.75,extreme,1.428775538435431,0.07565257775716516,17.649746402202055
USDT,1.8,normal,2.7,0.04130632091335454,4.417283482263969
USDT,1.8,stress,2.2540554684100957,0.07565220122010764,11.187568700112648
USDT,1.8,extreme,1.4087846677559677,0.07565220122013083,17.900109920190076
USDT,1.85,normal,2.7,0.04130593762469327,4.478214408603419
USDT,1.85,stress,2.223375552657031,0.07565182473049112,11.341887284866454
USDT,1.85,extreme,1.3896097198345732,0.07565182468247514,18.147019651791428
USDT,1.9,normal,2.7,0.04130555433603199,4.538327358858596
USDT,1.9,stress,2.193914648951631,0.0756514481377168,11.49413419126812
USDT,1.9,extreme,1.3711966555927315,0.07565144814481427,18.39061470778169
USDT,1.95,normal,2.7,0.041305171047370706,4.597654417516131
USDT,1.95,stress,2.16559410798667,0.07565107160668647,11.644390689786043
USDT,1.95,extreme,1.3534963174911965,0.07565107160715519,18.631025103779603
USDT,2.0,normal,2.7,0.04130478775870944,4.656225624864711
USDT,2.0,stress,2.138342202915451,0.07565069506802263,11.792732857082655
USDT,2.0,extreme,1.3364638813489425,0.07565068352400299,18.868369628177792
USDT,2.05,normal,2.7,0.041304404470048156,4.714069154816033
USDT,2.05,stress,2.1120933689692873,0.07565031852463906,11.93923204912682
USDT,2.05,extreme,1.3200583556044165,0.07565031853185317,19.102771280444664
USDT,2.1,normal,2.7,0.04130402118138689,4.771211473318817
USDT,2.1,stress,2.0867875383907717,0.075649941993575,12.083955298409299
USDT,2.1,extreme,1.304242211493675,0.07564994199419899,19.33432847762262
USDT,2.15,normal,2.7,0.041303637892725606,4.82767747989344
USDT,2.15,stress,2.0623695617234254,0.07564956545654669,12.226965664571111
USDT,2.15,extreme,1.2889809760771451,0.07564956545654568,19.563145063313453
USDT,2.2,normal,2.7,0.041303254604064324,4.883490634434702
USDT,2.2,stress,2.0387887018662862,0.07564918891889139,12.36832256487114
USDT,2.2,extreme,1.274242938666457,0.07564918891889794,19.7893161037951
USDT,2.25,normal,2.7,0.041302871315403056,4.938673071114611
